Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
MoGo Rideshare,AL,"17-mile service zone, City of Mobile, AL (workforce/employment corridors)",Urban,"Mobile Area Chamber of Commerce Foundation, operated by Via",Microtransit,Via,"App, Phone (251-312-4372)",Same-day,"Free to employment/training centers (AIDT, Airbus, Austal USA, FlightPath9); $1.25 to other destinations","7 days/week, 6:00 AM-8:00 PM",2024,"Federal (Carbon Reduction Program via South Alabama Regional Planning Commission), Local (City of Mobile), Community Foundation of South Alabama, Alabama Power Foundation, Blue Cross Blue Shield Caring Foundation",Active,"Shared vehicles, wheelchair-accessible on request","Launched March 16, 2024 as workforce-access pilot; corner-to-corner shared rides with virtual stops; received over $500,000 in Carbon Reduction Program grants. Being incorporated into a redesigned Via-led Mobile transit network launching July 2026.",https://city.ridewithvia.com/mogo,30.69,-88.04,State expansion research 2026-07
The M: Micro Transit,AL,"City of Montgomery, AL — mapped zones incl. Downtown Montgomery, Montgomery Regional Airport, Montgomery Whitewater, Maxwell AFB Visitor Center, Jackson Hospital",Urban,Montgomery Transit (The M),Microtransit,RideCo,"App (The M - Microtransit), Web, Phone (334-625-4075)",Flexible,$1.50 per ride (promotional; credit/debit or exact cash to driver),Mon-Fri 5:00am-9:00pm; Sat 5:30am-6:00pm; closed Sun,Not specified,Not specified,Active,Executive-style black shared vans,"On-demand shared rideshare; requests booked in real time with short wait times, or scheduled up to 7 days in advance; open to general public; complements fixed-route bus.",https://themtransit.com/microtransit/,32.370,-86.300,State expansion research 2026-07
METRO Connect,AR,"Central Arkansas zones: John Barrow Road, Riverdale, Levy-Amboy, East Little Rock, Hensley (Little Rock); North Little Rock; Sherwood; Conway",Mixed,Rock Region METRO (Central Arkansas Transit Authority),Microtransit,Via,"App (METRO Connect - Rock Region), Phone (501-476-3761)",Same-day,"Standard METRO fares (cash, passes, Token Transit; Conway zone exact cash or virtual 1-Ride passes only)","Varies by zone (e.g., Conway Mon-Sat 6am-8pm)",2020,"Federal, Local",Active - Expanding,Not specified,"On-demand, point-to-point-within-zone shared microtransit connecting to fixed-route transfers; started 2020 with a John Barrow test zone, since expanded to eight zones; migrated from TransLoc to Via platform; walk-up bookings eliminated Oct 2023; Conway public zone launched Oct 2024.",https://rrmetro.org/services/metro-connect/,34.750,-92.290,State expansion research 2026-07
ORT On-Demand,AR,"Northwest Arkansas city zones: Fayetteville, Springdale, Rogers (Mon-Sat); Bentonville (Sat only)",Suburban,Ozark Regional Transit Authority,Microtransit,Via,"App, Phone (479-756-5901)",Same-day,$1.25 per trip for up to 5 riders in a group,"Mon-Sat, times vary by city",2020,"Federal (FTA), Local",Active,Not specified,"App-based on-demand shared rides (door-to-door) within defined zones around NWA cities; may direct riders to fixed routes when faster. Program began in Rogers ~2020 and expanded to Bentonville/Fayetteville Feb 2022 (2 buses each in Rogers/Bentonville at that time); ride requests grew from ~500/week (Feb 2022) to ~1,500/week (Jul 2022).",https://www.ozark.org/on-demand-service,36.230,-94.150,State expansion research 2026-07
DART Connect,DE,"Three on-demand zones: Georgetown and Millsboro (Sussex County) and Newark (New Castle County), DE",Mixed,"Delaware Transit Corporation (DART First State), a division of DelDOT",Microtransit,Via,"App (DART Transit / DART Connect app), Phone (1-800-652-DART, Option 3)",Same-day,$2.00 per ride (same as DART bus fare); day/week/30-day/20-ride passes available,Newark: Mon-Fri 6am-8pm; Georgetown & Millsboro: Mon-Fri 5:45am-8pm; no service on DART holidays,2021,"Federal (FTA), State",Active - Expanding,Minibuses / mini-transit buses (~11 seats each; Newark launched with two vehicles),"State's first on-demand microtransit. Georgetown/Millsboro launched Apr 12, 2021 as an FTA-funded pilot replacing Flex Routes 901/902; continued after pilot success. Newark added Aug 2023, replacing the Unicity fixed-route loop. Waits estimated no more than 15 min. Available to the general public; first/last-mile connections to regular DART routes.",https://dartfirststate.com/Programs/dartconnect/,38.640,-75.340,State expansion research 2026-07
Hele-On Ka Hoʻokele (Rural Door-to-Door Service),HI,"Rural areas outside Hele-On fixed routes: Seaview/Kalapana, Upper Puna, Waimea, Hilo, Kailua-Kona, Captain Cook; Island of Hawaiʻi",Rural,"Hawaiʻi County Economic Opportunity Council (HCEOC), operating for the County of Hawaiʻi Mass Transit Agency",Demand-Response,Not specified,Phone,Same-day (based on availability); 1-14 days advance also accepted,Free,"Monday-Friday 7:30 AM to 4:30 PM, excluding County-observed holidays",Not specified,Local (County of Hawaiʻi Mass Transit Agency),Active,Not specified,"Open to the general public who reside in rural areas outside regular fixed-route and paratransit coverage. Registration required; reservations at (808) 731-7009 option 3, minimum one day in advance, up to 14 days ahead. Riders travel within a district or are taken to the nearest Hele-On fixed-route stop for onward travel.",https://www.heleonbus.hawaiicounty.gov/programs/hele-on-ka-ho-okele-rural-door-to-door-service,19.640,-155.500,State expansion research 2026-07
DART On Demand,IA,"Des Moines metro — Ankeny microtransit zone (active); Clive, Urbandale and Altoona zones planned fall 2026 under Reimagine DART",Suburban,Des Moines Area Regional Transit Authority (DART),Microtransit,Via,"App, Phone, Web",Flexible,"$3.50 standard; $0.75 half-fare and children ages 6-10; pay via DART On Demand app, myDART app, DART pass/tokens, or exact change",Ankeny zone: Monday–Friday 6:00 a.m.–6:30 p.m. (last trip booking 6:15 p.m.),Not specified,"Federal, State, Local",Active - Expanding,Not specified,"Point-to-point on-demand shared rides within a defined zone using smaller buses; trips can be booked in real-time or scheduled in advance and may be shared. Ankeny zone runs as-is until Sept 28, 2026, then reconfigured Ankeny plus new Clive-Urbandale and Altoona zones launch fall 2026 under Reimagine DART. Ankeny zone bounds: NE 62nd Ave (south), SE Four Mile Dr (east), 36th St (north), SW Irvinedale Dr (west).",https://www.ridedart.com/services,41.730,-93.606,State expansion research 2026-07
EASE (East Ames Service Extension),IA,"East Ames on-demand zone, Ames, IA (pickups within EASE zone plus Ames City Hall)",Suburban,CyRide (City of Ames / Iowa State University transit),Microtransit,The Routing Company (Pingo platform),"App (Ride Pingo), Phone",Same-day,$1.00 per trip (same as regular CyRide bus fare),Monday-Friday 7:00am-6:30pm,2022,"Federal, State, Local",Active,"Small bus (curb-to-curb, on-demand)","Curb-to-curb on-demand service; riders use the Ride Pingo app or call CyRide (515-239-5600, at least 30 min ahead for call-ins). Pingo platform launched with CyRide Dec 2022 — The Routing Company's first Midwest on-demand agency partnership. Two-year TRC contract awarded Oct 2022; agency reported improved efficiency, reduced call-center volume, high rider satisfaction. Transfers to fixed routes at City Hall.",https://www.cyride.com/schedules/summer-schedule/weekday/ease-east-ames-service-extension,42.021,-93.585,State expansion research 2026-07
HIRTA On-Demand,IA,"Boone, Dallas, Jasper, Madison, Marion, Story and Warren counties (central Iowa)",Mixed,Heart of Iowa Regional Transit Agency (HIRTA),Demand-Response,Via,"App, Phone",Flexible,$3.00 in-town one-way; $6.00 in-county one-way,Mon-Fri 7:00 a.m.-5:00 p.m. (Story County from 6:30 a.m.),Not specified,"Federal, State, Local",Active,ADA-accessible / wheelchair-lift-equipped vehicles (fleet size not specified),"General public, any trip purpose; same-day or advance booking; pickups within a 20-minute window, door-to-door across seven counties. HIRTA is an FTA ITS4US complete-trip deployment site.",https://www.ridehirta.com/ride,41.630,-93.720,State expansion research 2026-07
Peoplerides,IA,"Hardin, Marshall, Poweshiek and Tama counties, Iowa",Rural,Region 6 Planning Commission (Region 6 Resource Partners),Demand-Response,Not specified,"Phone, Online (Schedule a Ride form)",Same-day (subject to driver availability); 1-day advance preferred for priority scheduling,In-town $2-$15 depending on county/city; out-of-town demand-response $2.89 per mile,Not specified,1974,"Federal, State, Local",Active,20 ADA-accessible vehicles,"Established 1974; open to the general public including persons with disabilities; provides 50,000+ rides annually across the four counties using 20 ADA-accessible vehicles; offers both route and demand-response trips. Advance booking (at least one day) receives priority; same-day depends on driver availability. Medicaid-funded trips booked via broker (MTM); Marshalltown paratransit requires prior approval.",https://www.region6resources.org/peoplerides/,42.050,-92.910,State expansion research 2026-07
Region 8 Regional Transit Authority (RTA) On-Demand,IA,"Delaware, Dubuque (excl. City of Dubuque) and Jackson counties, northeast Iowa (Planning Area 8)",Rural,Region 8 Regional Transit Authority (RTA),Demand-Response,QRyde,"Web portal (cp-rtaia.qryde.com), Phone (1-800-839-5005 / 563-588-4592)",Flexible,Not specified,Not specified,2021,"Federal (FTA AIM grant ~$120,000, 2021), State, Local",Active - Post Pilot,~30 light-duty buses and accessible minivans; transitioning to 9-passenger vans,"Modernized rural demand-response using QRyde booking/routing/scheduling platform; ~100,000 passenger trips annually serving ~2,500 individuals. Advance reservations typically requested 24h ahead; same-day available subject to availability; ~10-min-out arrival notifications. Open to the general public; all vehicles wheelchair accessible.",https://rta8.org/,42.400,-90.900,State expansion research 2026-07
River Bend Transit,IA,"Cedar, Clinton, Muscatine and Scott counties (Iowa Quad Cities region)",Mixed,"River Bend Transit (RBT), Region 9",Demand-Response,Not specified,Phone (563-386-1350 / 800-292-8959),Same-day (flexible scheduling); advance also accepted,Not specified (varies by county/contract; per-county fare cards; same-day trips at premium; veterans ride free),"Varies by service; Bettendorf Dial-A-Bus Mon-Fri 6 a.m.-6 p.m., Sat 8:45 a.m.-5:40 p.m.",1978,"Federal, State, Local",Active,Not specified,"Iowa's first regional consolidated transit system (est. 1978); general-public door-to-door demand-response serving seniors, people with disabilities, and the general public across the Iowa Quad Cities; also offers same-day service (premium fare), county services, low-income employment transportation, and contracted city services (e.g. Bettendorf Dial-A-Bus). FTA transit agency profile ID 70049.",https://riverbendtransit.org/,41.520,-90.630,State expansion research 2026-07
SWITA (Southwest Iowa Transit Agency),IA,"Cass, Fremont, Harrison, Mills, Montgomery, Page, Pottawattamie and Shelby counties, SW Iowa",Rural,Southwest Iowa Planning Council (SWIPCO),Demand-Response,Not specified,"Phone, Online",Flexible,Not specified,Mon-Fri 6:00 a.m.-5:00 p.m. (vehicles operate 24/7 pending availability),Not specified,"Federal, State, Local",Active,Not specified (all vehicles handicap-accessible),"Public on-demand rideshare open to all residents of eight SW Iowa counties; also offers student, medical, work-route, taxi and excursion services. On-demand rides 6a-5p weekdays.",https://www.swita.com/services/,41.200,-95.400,State expansion research 2026-07
Trip Connect (Johnson County),IA,"Iowa City, Coralville, University Heights, North Liberty, Tiffin, and all parts of Johnson County north of I-80 (evening service)",Mixed,"Horizons NTS (Neighborhood Transportation Service), contracted by Johnson County Social Services",Microtransit,Via,"App, Phone",Flexible,$2.00 per ride,Sunday-Friday 5:00 p.m.-midnight; no Saturday service,2024,"Local (Johnson County, City of North Liberty, Kirkwood Community College), State (Iowa DOT special projects grant), National Center for Mobility Management grant, passenger revenue",Pilot - Ended,Vehicles owned/operated by Horizons NTS,"Curb-to-curb on-demand or scheduled evening rides for workers/students; launched Dec 11, 2024; completed 4,200+ rides; pilot ended June 30, 2026 due to ~$350k/yr funding shortfall.",https://www.johnsoncountyiowa.gov/node/14198,41.700,-91.580,State expansion research 2026-07
BLink,IN,"Within Bloomington city limits (Downtown, East, and North zones); serves trips not within walkable distance of a fixed bus route",Urban,Bloomington Transit,Microtransit,RideCo,"App, Web portal, Phone",Same-day,"$2 per one-way trip; pay in-app, cash (exact change), Tap To Pay, or Umo card",Mon-Fri 6am-9pm (no service on 6 major holidays),Not specified,Not specified,Active,Vans and smaller accessible vehicles,No eligibility or application required; rides booked on demand or up to 24 hours in advance. Repeated no-shows/late cancellations may result in booking restrictions.,https://bloomingtontransit.com/blink/,39.165,-86.526,State expansion research 2026-07
METS Micro,IN,"City of Evansville, Indiana (designated on-demand zones; expanding to Jacobsville)",Urban,Metropolitan Evansville Transit System (METS),Microtransit,Via,"App, Phone",Same-day,Not specified,Not specified,2023,"Local, Philanthropic (Toyota Mobility Foundation)",Active - Expanding,Not specified,"Launched Nov 27, 2023; completed over 37,000 rides by first anniversary (Nov 2024). Powered by Via; supported by Toyota Mobility Foundation, Evansville MPO, and Energy Systems Network. Curb-to-curb; booking by app or phone (812-562-5011). Expanding to Jacobsville.",https://www.metsbus.org,37.971,-87.571,State expansion research 2026-07
Lawrence Transit On Demand,KS,"City limits of Lawrence, Douglas County, KS (curb-to-curb, citywide zone)",Urban,Lawrence Transit (City of Lawrence / University of Kansas partnership),Microtransit,Spare,"App, Phone",Same-day,"$3 one-way (credit/debit only, no cash), effective March 1, 2026",Daytime: 8 a.m.–6 p.m. Sunday; Nighttime: 8 p.m.–6 a.m. Mon–Sat and 12 a.m.–6 a.m. Sunday,Not specified,Not specified,Active,"Smaller buses, all ADA accessible and equipped with bike racks (count not specified)","Curb-to-curb on-demand shared-ride service open to the general public, book any two points in town; booked via Lawrence Transit On Demand app (Spare, iOS/Android) or phone (785) 312-7054. Ridership/performance data not published on site.",https://lawrencetransit.org/on-demand/,38.972,-95.235,State expansion research 2026-07
Night Line,KS,"Within Lawrence city limits, Douglas County, KS",Urban,Lawrence Transit (City of Lawrence),Demand-Response,Not specified,Phone (785) 312-7054,Same-day,$2 cash only per trip (passes not accepted),"8 p.m. to 6 a.m., Monday–Saturday",2013,Not specified,Active,Not specified,"Evening/overnight curb-to-curb on-demand service open to the general public; rides scheduled by phone in advance during business hours (8 a.m.–5 p.m.) rather than fixed-stop. Originally launched as a one-year pilot on June 1, 2013; still listed as a core Lawrence Transit service.",https://lawrencetransit.org/night-line/,38.972,-95.235,State expansion research 2026-07
LYNX Microtransit (CATS LYNX),LA,"Baker, LA (Baton Rouge metro area)",Suburban,Capital Area Transit System (CATS),Microtransit,Via,App,Same-day,Not specified,Not specified,"2022 (approximate — sourced from a 'reported 4-year partnership' reference as of March 2026, not a confirmed exact date)",Not specified,Active,Not specified,"General-public, on-demand microtransit in Baker zone; CATS materials cite award recognition and cumulative ridership near 430,000 rides across LYNX + growing ADA paratransit service (combined figure, not LYNX-only). CATS also runs a separate 'CATS on Demand' service (~10,000 rides/month) whose relationship to LYNX is unclear from available sources.",https://www.brcats.com,30.585,-91.169,State expansion research 2026-07
River Parishes Transit Authority (RPTA) On-Demand Service,LA,"St. Charles, St. James, and St. John the Baptist parishes, LA",Rural,River Parishes Transit Authority,Microtransit,"Not specified (branded as ""Link-Microtransit"" booking platform; underlying vendor company not confirmed)","App, Phone",Same-day,Not specified,Not specified,Not specified,Not specified (RPTA created by Louisiana legislation as a regional transit authority; funding mechanism not confirmed),Active,Not specified,"Live booking portal (fetched directly) confirms an on-demand ride service in the three river parishes; riders must call dispatch (985-233-4339) before their first booking, then book via app/phone. Portal text states a 'pre-booking is required...based on available schedules,' which is somewhat ambiguous — could not fully confirm a pure no-fixed-schedule same-day model vs. a windowed reservation system. Fare/hours/fleet/vendor/funding not confirmed this pass.",https://river-parishes.link-microtransit.com/RPTA/en-US/Account/TransportOffer,29.996,-90.481,State expansion research 2026-07
SporTran OnDemand,LA,"Shreveport-Bossier City, LA (multiple service zones)",Urban,SporTran (Shreveport Area Transit System),Microtransit,RideCo,App (Apple/Google Play),Same-day,Free (Zero Fare Program),Not specified,Not specified,Not specified,Active,"Not specified (Dodge Caravans, Chevy Malibu and Dodge Challenger sedans mentioned, no total count)","General-public on-demand service branded 'Powered by the RideCo Transit App'; zone-based with designated stops, service area shown on interactive map; also used for ADA-eligible trips but not restricted to them.",https://www.sportran.org/168/OnDemand-Service,32.525,-93.750,State expansion research 2026-07
Metro Connect (Falmouth),ME,"Falmouth, Cumberland County, ME",Suburban,Greater Portland Metro (GPMetro / Greater Portland Transit District),Microtransit,Spare (Spare Rider platform),"App, Phone, Web",Same-day,Not specified,"7 days/week, circulating within Falmouth service zone (specific start/end times not specified)",2024,Federal (ARPA) -- per 2024 GPMetro RFP for the on-demand transit pilot program; not explicitly reconfirmed in later coverage,Active,Not specified,"GPMetro's first microtransit program; door-to-zone on-demand shuttle open to the general public, booked through the Spare Rider platform (vendor confirmed via booking URL). Per a Nov 2025 one-year-in review, averaging ~1 ride/hour with a goal of 2 rides/hour by end of 2025. Service area has expanded to cover most of Falmouth since a December 2024 launch.",https://www.gpmetro.org,43.782,-70.239,State expansion research 2026-07
Standish-Gorham Microtransit Pilot,ME,"Standish and Gorham (RTP also serves Raymond, Windham, and a separate Harrison pilot), Cumberland County, ME",Rural,Regional Transportation Program (RTP),Microtransit,Not specified,"Phone, Online (rtprides.org)",Same-day,$3 per ride within town,Not specified,2025,"State (Maine DOT grant, $88,139)",Active - New,Small ADA-accessible vans,"Launched October 15, 2025; same-day on-demand home pickup to any destination within service area. Funded through at least May 2026, with a $6 fare extension to downtown Portland reportedly proposed. Distinct from RTP's separate Harrison pilot ($99,576 grant) and from RTP's general advance-reservation (2+ business days) demand-response/paratransit service.",https://www.rtprides.org/catch-a-ride/,43.730,-70.505,State expansion research 2026-07
"GEST (Liberty/Gladstone, MO)",MO,"Liberty, MO and Gladstone, MO (Northland Kansas City region); candidate also lists North Kansas City, Riverside, Parkville — unverified",Suburban,GEST,Microtransit,Not specified,"App, Phone, Text",Same-day,$3 per ride,Not specified,2025,Local,Pilot,Not specified,"General-public, door-to-door, on-demand service; replaced a discontinued IRIS microtransit service (IRIS ended late Sept 2025 due to rising costs). Liberty launched ~1 week before article, Gladstone ~1 month prior; Liberty saw a 140% week-over-week ridership increase and up to 50 rides/day expected; Gladstone completed 'hundreds of rides.' Liberty is running a 30-day pilot before deciding on contract extension. Vehicles are NOT ADA-compliant — riders needing accommodation are directed to Liberty Access Bus or separate GEST paratransit option. Some riders reported being unable to book rides despite operator claims of full availability.",Not specified,39.246,-94.419,State expansion research 2026-07
IRIS (Independence),MO,"City of Independence, MO (entire city limits)",Suburban,"City of Independence (funder/project manager) / Kansas City Area Transportation Authority (KCATA, service manager) / zTrip (operations) / RideCo (technology)",Microtransit,RideCo,"App, Phone, Web",Same-day,"$5.00 per person per trip (free to/from 4 designated transfer points: Independence Transit Center, Centerpoint Medical Center, Independence Municipal Commons, Blue Ridge transfer point)",Mon-Sat 6:00 AM - 6:00 PM (excl. holidays),Not specified,Local (City of Independence),Active,"5 vehicles (4 sedans, 1 wheelchair-accessible minivan)","Dynamic-routing microtransit covering entire Independence city limits, pickup/dropoff within ~1/4 mile of requested locations. Candidate's original fare ($3.00) and fleet ('Not specified') were incorrect/incomplete per official city source; corrected here. One secondary April 2025 news report suggested planned cessation May 1 2025, but the live official city page (checked July 2026) states the service is currently active — worth flagging in concerns.csv if added. Launch year conflicting (candidate: 2023; one news summary: Jan 2025) and unconfirmed from a primary source, left as Not specified.",https://www.independencemo.gov/IndependenceIRIS,39.091,-94.415,State expansion research 2026-07
Via Metro STL,MO,"St. Louis County, MO (North, West/mid-county incl. Fenton, and South County zones)",Suburban,Metro Transit (Bi-State Development),Microtransit,Via,"App, Phone",Same-day,$2 per ride,Not specified,2020,Local,Active,~50 branded vans (wheelchair-accessible vehicles available),"~24,000-25,000 rides/month as of early 2026; over 750,000 total rides completed since 2020 launch (up from ~2,000 rides/month in year one); trips capped at 7 miles; uses virtual bus stops to group riders; Bi-State Development allocated ~$6.34M to fund operation through May 31, 2026 — continuation beyond that date not confirmed as of current date (2026-07-23).",Not specified,38.660,-90.440,State expansion research 2026-07
Blackfeet Transit,MT,"Browning and the Blackfeet Reservation, Glacier County, MT (extended service to Kalispell, Great Falls, Shelby, Cut Bank)",Rural,Blackfeet Nation (Blackfeet Transit),Microtransit,Via,"App, Phone",Same-day,"$1 adults; free for seniors, passengers with disabilities, and children under 17 (with adult)","8:00 AM - 4:30 PM, Monday-Friday",2021,Not specified,Active,Wheelchair-accessible vehicles (fleet size not specified),"On-demand public transit ""powered by Via""; uses real-time pooling algorithm to combine riders headed the same direction; app is ""Blackfeet Transit"" on Apple/Google Play; dispatcher line (406) 338-5604 for riders without smartphones.",Not specified,48.559,-113.012,State expansion research 2026-07
Dawson County Transit,MT,"Glendive, Dawson County, MT",Rural,Dawson County Transit,Demand-Response,Not specified,Phone,"Same-day (2hr notice appreciated, not required); airport transport requires 24hr advance","Adults $3, Students $2, Seniors/Disabled $1",Not specified,Not specified,Not specified,Not specified,Not specified,"Weekday dial-a-ride service; serves Dawson County High School, downtown Glendive, Glendive Dinosaur and Fossil Museum, Glendive Medical Center, and the Glendive bus stop. Phone reservation line (406) 377-5024.",http://www.dawsoncountytransit.com,47.106,-104.712,State expansion research 2026-07
Dillon City Bus,MT,"Dillon (and up to 1 mile beyond city limits), Beaverhead County, MT",Rural,City of Dillon (inferred from official domain; not explicitly named on page),Demand-Response,Not specified,Phone,Flexible,Free,"Mon-Fri (except federal holidays), 8:00am-12:00pm and 1:00pm-5:00pm",Not specified,"State (Montana DOT Operating Grant Program, TransADE), Local (donations)",Active,Not specified,Not specified,https://www.dillonmt.org/city-bus,45.217,-112.636,State expansion research 2026-07
Fort Peck Transit,MT,"Fort Peck Indian Reservation, MT (Poplar, Brockton, Fort Kipp, Wolf Point, Frazer, and Oswego)",Rural,Fort Peck Tribes,Demand-Response,Not specified,Not specified,Advance,Not specified,Weekday service only,Not specified,Not specified,Active,Not specified,"Demand-response service within reservation communities, plus scheduled weekday round-trip routes (Fort Kipp<->Poplar, Frazer<->Poplar) and medical-appointment trips outside the reservation area.",Not specified,48.107,-105.196,State expansion research 2026-07
Mountain Climber (formerly Eagle Transit),MT,"Flathead County (Kalispell, Whitefish, Columbia Falls), MT",Mixed,Flathead County Agency on Aging (unverified this pass),Demand-Response,Not specified,"Phone (dispatch call-in); on-demand app reported as forthcoming in earlier announcements, not confirmed live)",Same-day,$1.00 per ride (reintroduced July 2023 after ~3 years fare-free),"Monday-Friday, 7am-7pm (per secondary source, unverified this pass)",2021,Not specified,Active,"ADA-compliant vehicles with wheelchair lifts (per secondary source, unverified this pass); some vehicles reported to include ski storage bins for Whitefish Mountain Resort service","Rebranded from Eagle Transit to Mountain Climber in early 2021. Reported ~96% met-demand rate and 51,975 rides in the most recent fiscal year cited. Also handles NEMT trips as part of its service mix, but the core on-demand service is open to the general public (not eligibility-restricted) — reclassified from Paratransit to Demand-Response on that basis. Direct fetch of flathead.mt.gov timed out twice this pass; classification and all secondary-sourced fields still need confirmation against a primary county source.",https://flathead.mt.gov,48.196,-114.313,State expansion research 2026-07
Powell County Transit,MT,"Powell County, MT (Deer Lodge); regional trips to Butte, Anaconda, Missoula, and Helena",Rural,Powell County Transit,Demand-Response,Not specified,Phone (406-846-1888),"Same-day (in-town, 30-min notice); out-of-town route requires 1-week advance",$1 for local trips up to $40 for trips to Missoula,Weekday service only,Not specified,Not specified,Active,Not specified,Not specified,powellcountytransit.org,46.395,-112.729,State expansion research 2026-07
Richland County Transportation (RCT),MT,"Richland County, MT (Sidney, Fairview, Lambert, Savage)",Rural,"Richland County Transit (RCT), a county-operated service",Demand-Response,Not specified,"Phone, App","Same-day (Sidney in-town, real-time app); Fairview/Savage/Lambert outlying routes require 24hr advance, same-day not available there",Free,"Bus service Mon-Fri 7:00am-6:00pm in Sidney; other county towns (Fairview, Lambert, Savage) served at least once weekly; office hours Mon-Fri 8am-5pm",Not specified,Not specified,Active,"10 ADA-accessible vehicles (integrated car seats, bike racks, wheelchair securement)",Open to general public of all ages; passengers under 8 cannot ride unattended. No fare charged. Coordinator: Christie Steinley.,https://www.richland.org/transportation.html,47.717,-104.159,State expansion research 2026-07
Rocky Boy Transit,MT,"Rocky Boy's Indian Reservation, Hill/Chouteau County, MT",Rural,Chippewa Cree Tribe,Demand-Response,Not specified,Not specified,Same-day,Not specified,Not specified,Not specified,Federal (FTA Tribal Transit Program grant MT2025024),Active,Not specified,"North Central Montana coordination plan (2024) notes the tribal transit agency added on-demand service for reservation residents. Independently corroborated by federal grant record MT2025024, which funds continuation of both fixed-route and demand-response transit on the Rocky Boy Reservation, serving the general reservation community (employment, retail, medical, daily activities) rather than an ADA/senior-restricted rider pool.",Not specified,48.317,-109.850,State expansion research 2026-07
Valley County Transit,MT,"Valley County, MT (Glasgow hub)",Rural,Not specified,Demand-Response,Not specified,Phone,"Same-day (Glasgow core service); Nashua early bus requires prior-workday booking by 5pm, St. Marie is a fixed-time route",$1 each way within Glasgow; $3 each way outside Glasgow (premium fares apply for night/weekend service),Weekday daytime service; night and weekend service available at premium fare,Not specified,Not specified,Active,Not specified,Not specified,http://valleycountytransit.com/Home.aspx,48.197,-106.636,State expansion research 2026-07
Micro Flex,NE,"Omaha, Nebraska (North, South, and West service zones)",Urban,Omaha Metro (Metro Transit),Microtransit,Via,"App, Phone",Same-day,$3.00 per trip; $4.25 with transfer to/from MOBY when paying via Umo; cash not accepted on board; children under 6 ride free,Weekdays 6:00 a.m.–9:00 p.m.; Saturday 7:00 a.m.–8:00 p.m.; Sunday 8:00 a.m.–6:00 p.m.,Not specified,Not specified,Active,Not specified,"Confirmed via ometro.com/rider-guide/metro-flex/: same-day on-demand, no advance reservations, open to general public with no eligibility/application requirement. Three service zones (North, South, West) each connect to a Metro Transit Center (North Omaha TC, MCC South/Aksarben TC, Westroads TC) and integrate with fixed-route bus, ORBT, and MOBY paratransit. Wheelchair-accessible vehicles; bikes permitted (up to 2 per van, 35 lbs each). Launch year and funding source not disclosed on site; recommend follow-up search of Omaha Metro press releases or FTA grant records.",https://www.ometro.com/rider-guide/metro-flex/,41.257,-95.995,State expansion research 2026-07
Neligh Dial-A-Ride Public Transportation,NE,"City of Neligh and surrounding Antelope County communities, Nebraska",Rural,City of Neligh,Demand-Response,Not specified,Phone,Same-day,Not specified,Not specified,Not specified,Not specified,Active,Not specified,"Official City of Neligh service, listed under City Hall > Dial-A-Ride Public Transportation, with a 2025 Public Transit Schedule, Rider Handbook, and ADA/Title VI compliance docs published on neligh.org. No eligibility restriction (ADA/senior-only) language found — appears open to general public. Likely part of Nebraska NDOT's statewide rural transit network (NDOT cites ~49 such agencies, 620,000+ rides in 2024), though this specific system's funding/vendor were not independently confirmed. Contact: 402-887-4066. Booking method and same-day vs. advance scheduling were not explicitly confirmed on the pages fetched; classified per typical dial-a-ride convention and should be verified against the linked rider handbook if precision is needed.",https://www.neligh.org,42.128,-98.032,State expansion research 2026-07
ABQ RIDE Connect,NM,"Albuquerque, NM — Southwest Mesa Zone, Rio Grande Zone (active since March 2024), South Valley Zone (launching May 16, 2026)",Urban,City of Albuquerque Transit Department (ABQ RIDE),Microtransit,RideCo,"App, Phone, Online",Same-day,Free,Mon–Fri 7:00 AM–7:00 PM; Sat 9:00 AM–5:00 PM,2024,Local (City of Albuquerque),Active - Expanding,Electric vans (fleet size not specified),"Zone-based, on-demand door-to-door microtransit connecting riders to transit centers, bus stops, grocery stores, and medical facilities within same zone; zone-to-zone transfers occur at designated transit centers. Targets lower-income riders and first/last-mile gaps. Third zone (South Valley) launching May 16, 2026, expanding the two zones active since March 18, 2024.",https://www.cabq.gov/transit/services/abq-ride-connect,35.050,-106.680,State expansion research 2026-07
GET My Ride,NV,"City of Elko, Spring Creek, Ryndon, Osino; limited service to Carlin and Wells (veterans: medical-only trips countywide)",Rural,Elko County Transit,Demand-Response,Not specified,Phone,"Same-day (requested today, or after noon for tomorrow; based on availability)",$2.00-$5.00 per ride depending on zone; 22-ride punch cards $20; seniors 60+ may be asked to donate half fare but cannot be denied service; veterans ride free,Not specified,Not specified,"State, Federal, Medicaid Transportation Broker (Nevada Aging and Disability Services Division grants fund senior program; Nevada Dept. of Veteran Services/federal VA funding for veterans program; contracts with Nevada Medicaid Transportation Broker for qualifying riders)",Active,Not specified,General-public dial-a-ride demand-response service confirmed via official county page; grant-funded senior and veteran programs layered on top of base public service.,http://www.elkocountynv.net/new_page/transit_service19/index.php,40.833,-115.763,State expansion research 2026-07
